0	0	0	0	0	0	0	0	0	0
47	46	50	42	44	44	37	45	42	43
162	172	178	168	169	151	129	167	134	171
329	362	374	349	368	319	308	359	274	356
572	555	634	571	596	535	546	603	437	588
874	798	937	842	880	781	823	863	603	863
1192	1064	1295	1134	1184	1031	1125	1184	774	1192
1548	1349	1685	1422	1513	1317	1459	1503	938	1590
1962	1666	2120	1718	1877	1659	1814	1854	1052	1978
2376	2001	2567	2022	2282	2011	2166	2202	1170	2381
2814	2325	2991	2339	2684	2371	2516	2564	1278	2803
3251	2652	3461	2702	3063	2762	2871	2965	1384	3229
3691	2940	3946	3046	3478	3187	3240	3372	1497	3646
4132	3278	4390	3418	3912	3615	3629	3742	1641	4039
4583	3603	4831	3736	4378	4077	4042	4095	1750	4422
5007	3976	5292	4075	4816	4503	4451	4395	1866	4801
5438	4445	5725	4411	5196	4917	4871	4769	1995	5221
5773	4906	6165	4798	5625	5305	5298	5087	2140	5651
6086	5348	6553	5244	6052	5611	5727	5412	2350	6072
6343	5767	6909	5651	6507	5942	6152	5711	2564	6459
6603	6185	7315	6029	6955	6272	6521	6029	2756	6817
6835	6609	7681	6366	7380	6562	6871	6333	2920	7188
7057	6946	7995	6688	7798	6851	7203	6678	3081	7573
7258	7251	8317	6967	8174	7148	7509	6978	3245	7981
7475	7578	8622	7212	8464	7407	7788	7277	3439	8363
7710	7918	8921	7479	8740	7691	8099	7530	3618	8761
7909	8261	9175	7783	9016	7903	8432	7725	3808	9112
8075	8551	9390	8015	9354	8188	8773	7922	3985	9466
8231	8805	9590	8273	9667	8439	9104	8124	4150	9813
8386	9141	9807	8495	9993	8681	9432	8316	4351	10122
8529	9429	10015	8734	10326	8874	9713	8472	4560	10423
8668	9657	10238	8983	10646	9104	9963	8631	4790	10683
8823	9890	10430	9229	10948	9283	10207	8778	5067	10916
8994	10112	10633	9466	11235	9487	10503	8992	5370	11195
9169	10348	10864	9713	11462	9660	10849	9195	5701	11509
9342	10560	11156	9920	11671	9818	11204	9406	6068	11848
9523	10743	11397	10152	11890	9995	11548	9559	6468	12190
9762	10923	11605	10405	12142	10211	11864	9687	6856	12469
9978	11109	11852	10684	12353	10432	12173	9790	7192	12748
10193	11346	12123	10981	12543	10676	12504	9892	7549	12991
10431	11599	12385	11278	12701	10903	12887	9977	7837	13263
10701	11897	12621	11514	12834	11115	13286	10070	8108	13542
11003	12160	12856	11782	12956	11325	13622	10170	8332	13873
